#{"t_start": 1738173668.0426607, "env_id": "CustomHopperWithObstacles-source-v0"}
r,l,t
309.715453,115,60.988621
309.736817,115,61.047471
307.36748,114,61.10482
309.543334,115,61.162623
307.644437,114,61.221109
309.855174,115,61.279238
309.38861,115,61.337409
308.927511,115,61.395347
306.242845,114,61.452769
307.777244,114,61.510123
310.405266,115,61.568068
306.712649,114,61.625615
307.263855,114,61.685447
307.287109,114,61.75405
309.612594,115,61.820791
308.033071,114,61.886798
306.976669,114,61.952239
309.073061,115,62.018935
304.720741,113,62.084229
304.439285,113,62.141339
310.285801,115,62.199221
309.396122,115,62.259649
307.152565,114,62.320094
307.69624,114,62.380633
304.896132,113,62.44061
309.498629,115,62.501707
307.524726,114,62.562381
300.538963,119,63.445404
337.932578,133,63.556833
336.89911,124,63.660292
253.471503,109,63.752266
298.694639,115,63.8489
321.581306,130,63.958005
319.726197,130,64.06827
201.748677,91,64.145345
290.589991,110,64.238342
217.13684,93,64.317888
345.792581,123,64.420727
282.129363,118,64.521842
333.050462,124,64.626728
231.710694,103,64.726742
249.833924,101,64.827743
253.980028,103,64.930242
187.357002,83,65.012789
225.985847,102,65.103563
338.814918,126,65.220343
338.181451,126,65.29473
340.945677,127,65.367423
339.136501,126,65.441202
339.089953,126,65.525952
338.982047,126,65.609725
339.855044,126,65.687107
340.551837,127,65.75467
339.431892,126,65.819389
338.301245,126,65.884576
338.615334,126,65.948792
341.333022,127,66.013512
338.176919,126,66.077883
339.128283,126,66.142253
339.609851,126,66.207893
338.748646,126,66.27212
341.518826,127,66.336968
341.017896,127,66.401802
337.241315,125,66.466488
339.317582,126,66.530784
339.313962,126,66.595102
339.558309,126,66.659292
339.546891,126,66.73457
339.251308,126,66.812706
338.832249,126,66.894518
337.138615,125,66.982557
338.961932,126,67.069447
339.794315,126,67.142252
337.168981,125,67.214193
339.667976,126,67.286203
342.266346,127,67.3589
338.968021,126,67.431074
339.96287,126,67.50331
339.687001,126,67.575179
337.812017,125,67.647164
339.054651,126,67.720115
340.372653,126,67.793269
340.096753,126,67.86635
341.007972,126,67.939552
340.753294,126,68.012836
339.586985,126,68.086564
337.00752,125,68.15898
338.821485,125,68.231363
